STT;SBD;GioiTinh;KV;HocLuc;HanhKiem;DTBLop12;MaHuyen;MaTruongPT;TO;VA;LI;HO;SI;SU;DI;GDCD;NN;
1;37000001;Nam;2;Gioi;Tot;8,5;01;003;9,2;6,25;8,5;3,5;5;;;;7,4;
2;37000002;Nu;2;Gioi;Tot;8,5;01;003;8,2;8;;;;8;7,5;9,25;8;
3;37000003;Nu;;Kha;Kha;6,8;03;052;3;5,25;;;;4;4;;;
4;37000004;Nam;2;Kha;Tot;7,8;01;003;8;5;7;7,5;5;;;;7;
5;37000005;Nu;2;Gioi;Tot;8,9;01;003;8,2;7,75;;;;6,75;7;9,25;9,6;
6;37000006;Nam;;Trung binh;Kha;6,5;25;052;3;4,5;;;;3,75;6,75;;;
7;37000007;Nam;2;Kha;Tot;7,9;01;003;8,8;4,25;7,75;5,5;4;;;;7,2;
8;37000008;Nam;;Trung binh;Kha;6,1;01;052;2,4;3;;;;4;4;;;
9;37000009;Nam;;Kha;Kha;6,7;01;052;3;4;;;;4;6,25;;;
10;37000010;Nam;2;Gioi;Tot;8,6;01;003;9,6;6;9;6,5;7,5;;;;9,4;
11;37000011;Nam;;Kha;Kha;6,8;01;052;5,2;5,5;;;;3;7,5;;;
12;37000012;Nam;2;Gioi;Tot;8,6;01;003;8,6;7,5;8,75;5,75;6,25;;;;7,8;
13;37000013;Nu;2;Gioi;Tot;8,3;01;003;8,4;7,25;;;;5,75;7;9,25;8;
14;37000014;Nam;2;Gioi;Tot;8,4;01;003;9,6;6;9;8,25;6,5;;;;9;
15;37000015;Nam;2;Kha;Tot;7,8;01;003;9,6;4,25;8,25;7;3,75;;;;5,2;
16;37000016;Nu;2;Gioi;Tot;8,4;01;003;8,8;6,25;7,75;6;5,25;;;;8,2;
17;37000017;Nam;2;Gioi;Tot;8,5;01;003;9;5,25;6,25;5;4,25;;;;7,2;
18;37000018;Nu;2;Gioi;Tot;8,5;01;003;8,8;7;7,75;4,75;4,5;;;;7,6;
19;37000019;Nu;;Kha;Kha;6,9;06;052;5,8;6,75;;;;4,5;7,5;;;
